Name	locus_tag
BSU13260	ykoH
BSU13270	ykoI
BSU13280	ykoJ
BSU13390	ykoT
BSU13450	sigI
BSU13460	rsgI
BSU13520	ykrP
BSU13540	ogt
BSU13830	ykvU
BSU13960	ykwC
BSU13980	pbpH
BSU14050	ykuE
BSU14150	ykuN
BSU14160	ykuO
BSU14170	ykuP
BSU14220	ykuU
BSU14230	ykuV
BSU14240	rok
BSU14260	mobA
BSU14380	fruR
BSU14390	fruK
BSU14400	fruA
BSU14440	ykpB
BSU14450	ampS
BSU14460	ykpC
BSU14470	mreBH
BSU14650	yktB
BSU14680	ykzC
BSU14730	ylaC
BSU14740	ylaD
BSU14900	ctaD
BSU14920	ctaF
BSU14930	ctaG
BSU14940	ylbA
BSU15300	bpr
BSU15320	sigE
BSU16799	ylzJ
BSU16990	tdh
BSU17000	kbl
BSU17080	pksA
BSU17100	pksC
BSU17180	pksJ
BSU17190	pksL
BSU17200	pksM
BSU17220	pksR
BSU17570	xynP
BSU17580	xynB
BSU17600	xylA
BSU17610	xylB
BSU17630	yncC
BSU17640	alrB
BSU17690	yncM
BSU17730	yndB
BSU17740	ynzB
BSU17830	yndM
BSU18130	eglS
BSU18150	xynC
BSU18160	xynD
BSU18210	yngE
BSU18220	yngF
BSU18350	dacC
BSU18370	yoeA
BSU18420	ftsR
BSU18530	yoaA
BSU18630	exlX
BSU18640	yoaK
BSU18669	yozS
BSU18780	yoaW
BSU18820	yobB
BSU18908	yozY
BSU18990	yobK
BSU19000	yobL
BSU19200	desR
BSU19210	yocH
BSU19220	yocI
BSU19240	yocK
BSU19420	yojK
BSU19510	yojB
BSU19520	yojA
BSU19570	yodE
BSU21500	uvrX
BSU21570	yokJ
BSU21580	yokI
BSU22010	exoA
BSU22090	kdgT
BSU22100	kdgA
BSU22130	kduI
BSU22540	qcrC
BSU22550	qcrB
BSU22560	qcrA
BSU22940	prsW
BSU23250	ribH
BSU23260	ribA
BSU23300	ypuD
BSU23450	sigF
BSU23490	pupG
BSU23500	drm
BSU23550	mleA
BSU23560	mleN
BSU23770	dsdA
BSU23790	yqjP
BSU23810	yqjN
BSU23820	yqjM
BSU23830	yqjL
BSU23840	yqjK
BSU23900	yqjF
BSU24010	bmr
BSU24110	yqzF
BSU24120	prpB
BSU24130	prpD
BSU24150	mmgC
BSU24170	mmgA
BSU24180	yqiK
BSU24220	spo0A
BSU24390	spoIIIAE
BSU24430	spoIIIAA
BSU24560	gcvPA
BSU24570	gcvT
BSU24620	tasA
BSU24630	sipW
BSU24640	yqxM
BSU24810	yqgV
BSU24910	yqgM
BSU24950	pstBB
BSU24960	pstBA
BSU24970	pstA
BSU24980	pstC
BSU24990	pstS
BSU25190	cccA
BSU25520	yqxA
BSU25530	spoIIP
BSU25540	gpr
BSU25740	yqeB
BSU25750	nucB
BSU25780	arsC
BSU25790	arsB
BSU25800	yqcK
BSU25860	yqcG
BSU25870	yqcF
BSU26030	yqbO
BSU26500	yrkI
BSU26510	yrkH
BSU26530	yrkF
BSU26590	blt
BSU26820	yrpD
BSU26890	csn
BSU27030	sacC
BSU27080	levR
BSU27090	aapA
BSU27140	oatA
BSU27220	yrhE
BSU27230	yrhD
BSU27468	yrzQ
BSU27469	yrzR
BSU27520	cymR
BSU27750	bofC
BSU27760	csbX
BSU27770	yrbE
BSU27809	yrzT
BSU27810	yrbD
BSU27920	obgE
BSU28170	hemA
BSU28380	gerM
BSU28470	lysC
BSU28510	xsa
BSU28520	etfA
BSU28530	etfB
BSU28540	ysiB
BSU28550	fadR
BSU28560	lcfA
BSU28670	ysfB
BSU28700	ysfE
