Name	locus_tag
BSU18200	yngD
BSU18440	gltD
BSU18450	gltA
BSU18460	gltC
BSU18800	penP
BSU18880	yobE
BSU19040	csaA
BSU19310	dhaS
BSU19330	sodF
BSU19360	odhB
BSU19370	sucA
BSU19380	yojO
BSU19460	yojG
BSU19470	yojF
BSU19530	yodA
BSU19540	yodB
BSU19560	yodD
BSU19590	ctpA
BSU20490	yoqW
BSU21680	yppQ
BSU21790	yplQ
BSU21800	ypkP
BSU21830	ypjQ
BSU21840	ypjP
BSU21850	ypiP
BSU21860	yphP
BSU21880	ypgR
BSU21890	ypgQ
BSU21920	ugtP
BSU21980	ypdP
BSU21990	ypdQ
BSU22000	sspL
BSU22080	ypwA
BSU22110	kdgK
BSU22140	kduD
BSU22169	ypzG
BSU22190	ypsA
BSU22200	cotD
BSU22210	yprB
BSU22220	yprA
BSU22230	ypqE
BSU22320	ponA
BSU22400	dinG
BSU22410	panD
BSU22420	panC
BSU22430	panB
BSU22440	birA
BSU22450	cca
BSU22460	ypjH
BSU22520	ypjB
BSU22600	aroE
BSU22690	aroH
BSU22700	aroB
BSU22710	aroF
BSU22720	cheR
BSU22740	hepT
BSU22750	ubiE
BSU22760	hepS
BSU22830	gpsA
BSU22840	engA
BSU22960	gudB
BSU22970	ypbH
BSU23000	ypbE
BSU23010	ypbD
BSU23020	recQ
BSU23030	ypbB
BSU23090	rsiX
BSU23110	resE
BSU23120	resD
BSU23130	resC
BSU23140	resB
BSU23200	ypuI
BSU23210	spcB
BSU23240	ypzK
BSU23270	ribE
BSU23570	aspA
BSU23580	ansA
BSU23600	yqxK
BSU23620	yqkF
BSU23650	yqkC
BSU23660	yqkB
BSU23670	yqkA
BSU23750	yqjT
BSU23760	coaA
BSU23780	yqjQ
BSU23850	zwf
BSU23860	yqjI
BSU23870	yqjH
BSU23890	yqjG
BSU23910	yqjE
BSU23920	yqjD
BSU24020	bmrR
BSU24030	bkdB
BSU24040	bkdAB
BSU24050	bkdAA
BSU24060	lpdV
BSU24070	buk
BSU24080	bcd
BSU24090	ptb
BSU24100	bkdR
BSU24210	yqiG
BSU24240	recN
BSU24250	ahrC
BSU24270	dxs
BSU24330	yqhY
BSU24340	accC
BSU24500	yqhP
BSU24550	gcvPB
BSU24830	yqgT
BSU24840	yqgS
BSU24850	glcK
BSU24860	yqgQ
BSU24870	glpG
BSU25030	yqgC
BSU25070	ispG
BSU25080	yqfX
BSU25130	yqfS
BSU25170	yqfO
BSU25180	trmK
BSU25280	recO
BSU25290	era
BSU25310	dgkA
BSU25320	yqfG
BSU25430	rimO
BSU25440	yqeU
BSU25470	dnaK
BSU25480	grpE
BSU25490	hrcA
BSU25500	hemN
BSU25510	lepA
BSU25560	holA
BSU25580	comEB
BSU25600	comER
BSU25610	yqeM
BSU25620	yqeL
BSU25700	yqeF
BSU25730	yqeC
BSU26470	yrkL
BSU27020	yraA
BSU27110	yrhO
BSU27150	yrhK
BSU27160	cypB
BSU27300	yrrS
BSU27330	udk
BSU27340	yrrO
BSU27380	yrzB
BSU27390	yrrK
BSU27400	yrzL
BSU27410	alaS
BSU27470	yrrD
BSU27480	yrrC
BSU27490	yrrB
BSU27500	mnmA
BSU27510	iscS
BSU27550	aspS
BSU27590	yrvI
BSU27600	relA
BSU27610	apt
BSU27620	recJ
BSU27650	secDF
BSU27720	queA
BSU27730	ruvB
BSU27890	nadR
BSU27940	rpmA
BSU27950	ysxB
BSU27990	minD
BSU28020	mreC
BSU28080	folC
BSU28090	valS
BSU28120	hemL
BSU28130	hemB
BSU28140	hemD
BSU28150	hemC
BSU28160	hemX
BSU28190	engB
BSU28200	lonA
BSU28240	ysoA
BSU28340	ysnF
BSU28390	racE
BSU28430	sdhB
BSU28440	sdhA
BSU28580	mutSB
BSU28590	yshC
BSU28620	rnhC
BSU28630	pheT
BSU28640	pheS
BSU28650	ysgA
BSU28950	thrS
BSU28960	ytxC
BSU28970	ytxB
BSU28980	dnaI
BSU28990	dnaB
BSU29060	coaE
BSU29070	ytaF
BSU29080	mutM
BSU29090	polA
BSU29170	fxsA
BSU29180	pyk
BSU29220	ytsJ
BSU29250	nrnA
BSU29270	ytoI
BSU29550	ytcJ
BSU29560	ytcI
BSU29570	sspA
BSU29580	ytbJ
BSU29610	ezrA
BSU29650	dgcP
BSU29740	ccpA
BSU29750	aroA
BSU29760	ytxJ
BSU29770	ytxH
BSU29790	murC
BSU29805	ytpS
BSU29830	ytpQ
BSU29860	ytoP
BSU30035	ytzG
BSU30060	ytfP
BSU30070	opuD
BSU30320	leuS
BSU30350	yttB
BSU30490	ytqB
BSU30540	asnB
BSU30550	metK
BSU30810	ytxM
BSU31150	yubB
BSU31500	yuxK
BSU31520	yufL
BSU31530	yufM
BSU31580	maeN
BSU31650	mrpF
BSU31750	yueK
BSU31790	yueG
BSU31800	yueF
BSU31820	yuzF
BSU31930	ald
BSU32160	yutM
BSU32170	dapF
BSU32220	yutI
BSU32290	yutF
BSU32660	yurT
BSU32670	sufB
BSU32680	iscU
BSU32690	sufS
BSU32700	sufD
BSU33030	yuxN
BSU33040	fumC
BSU33170	yvrB
BSU33210	yvrG
BSU33260	yvrN
BSU33270	yvrO
BSU33280	yvrP
BSU33300	fhuG
BSU33610	rnr
BSU34200	sigL
BSU34220	epsO
BSU34730	yvcN
BSU34740	crh
BSU34800	cwlO
BSU34960	yvoF
BSU34970	hprP
BSU34980	yvoD
BSU34990	lgt
BSU35000	hprK
BSU35250	ftsX
BSU35290	prfB
BSU35300	secA
BSU35500	degS
BSU35520	yvhJ
BSU35650	lytR
BSU35670	gtaB
BSU35740	tagD
BSU36280	ywqA
BSU36560	ywnH
BSU36570	ywnG
BSU36580	ywnF
BSU36760	murAA
BSU36800	atpC
BSU36810	atpD
BSU36910	ywlG
BSU36920	ywlF
BSU36990	ywkF
BSU37000	prmC
BSU37040	ywkB
BSU37090	glpX
BSU37100	murAB
BSU37330	argS
BSU37520	ywhD
BSU37530	ywhC
BSU37550	ywhA
BSU38210	ywcD
BSU38330	lrgB
BSU38370	ywbC
BSU38490	menA
BSU38860	galE
BSU39400	pdp
BSU39410	nupC
BSU39420	deoC
BSU40320	argI
BSU40890	rpsR
BSU40900	ssbA
BSU40930	yyaE
