Name	locus_tag
BSU29950	ytlQ
BSU29990	pbuO
BSU30000	ythQ
BSU30830	menF
BSU31130	yubD
BSU31230	tlpB
BSU31240	mcpA
BSU31260	mcpB
BSU32730	metN
BSU32740	metP
BSU32750	metQ
BSU32760	yusD
BSU32800	yusH
BSU33330	lysP
BSU33870	yvbI
BSU34010	yvbW
BSU34020	yvbX
BSU34050	yvfV
BSU34810	yvcD
BSU35319	yvzG
BSU35320	fliT
BSU35330	fliS
BSU35340	fliD
BSU35350	yvyC
BSU35360	hag
BSU35370	csrA
BSU35390	yviE
BSU35400	flgL
BSU35410	flgK
BSU35420	yvyG
BSU35430	flgM
BSU35440	yvyF
BSU35620	lytC
BSU35630	lytB
BSU35700	tagH
BSU35720	tagF
BSU35730	tagE
BSU35860	pgdS
BSU36390	flhP
BSU36400	flhO
BSU36770	ywmB
BSU36780	ywzB
BSU36840	atpH
BSU36850	atpF
BSU36860	atpE
BSU36870	atpB
BSU36880	atpI
BSU36890	upp
BSU36900	glyA
BSU37140	ywjG
BSU37500	speE
BSU37600	ywfO
BSU38150	qoxC
BSU38160	qoxB
BSU38170	qoxA
BSU38320	ywbH
BSU38499	ywzH
BSU38500	dltA
BSU38510	dltB
BSU38520	dltC
BSU38550	ywaA
BSU38850	yxkC
BSU38930	yxjJ
BSU39230	wapA
BSU39600	yxeC
BSU40420	purA
BSU40520	yybS
